,Residuals
2021-01-07,1.954627862195737
2021-01-08,1.968315221616952
2021-01-11,1.9444254088885784
2021-01-12,1.9499019079908577
2021-01-13,1.9299576305054882
2021-01-14,1.944959589525328
2021-01-15,1.9159175557067787
2021-01-18,1.9284128970006176
2021-01-19,1.922649164317897
2021-01-20,1.9153437356998926
2021-01-21,1.9065172991293702
2021-01-22,1.902029773670356
2021-01-26,1.8975887218648282
2021-01-27,1.896054692880619
2021-01-28,1.9244746088848461
2021-01-29,1.8864693784214444
2021-02-01,1.9145276663795157
2021-02-02,1.917330157741218
2021-02-03,1.9274430775902998
2021-02-04,1.9192550094267147
2021-02-05,1.9266264245302382
2021-02-08,1.9191454686716352
2021-02-09,1.9170325134532402
2021-02-10,1.9082605230934058
2021-02-11,1.9174897514038962
2021-02-12,1.917114818945945
2021-02-17,1.9239747683869868
2021-02-18,1.9117390496304134
2021-02-19,1.9066463103095095
2021-02-22,1.8586026699290858
2021-02-23,1.89479399044306
2021-02-24,1.8977107618262723
2021-02-25,1.8674349112470532
2021-02-26,1.8556234686462307
2021-03-01,1.86682394803986
2021-03-02,1.8808349061219811
2021-03-03,1.8769687723459447
2021-03-04,1.8918384111682611
2021-03-05,1.9112860619648782
2021-03-08,1.8642567482955696
2021-03-09,1.8792357051680706
2021-03-10,1.8931683458224238
2021-03-11,1.9100301341789585
2021-03-12,1.8971290801350023
2021-03-15,1.9029719894957013
2021-03-16,1.8936463120399951
2021-03-17,1.916578042518684
2021-03-18,1.8960532124075553
2021-03-19,1.9097998082452725
2021-03-22,1.8960158860382967
2021-03-23,1.882562734771807
2021-03-24,1.8761494297600851
2021-03-25,1.8953571974571006
2021-03-26,1.9022412093489622
2021-03-29,1.9050305449182594
2021-03-30,1.9149074029772541
2021-03-31,1.908720206929301
2021-04-01,1.8954333215589334
2021-04-05,1.9170498457555443
2021-04-06,1.9121489153504196
2021-04-07,1.9114408239363891
2021-04-08,1.915898458437269
2021-04-09,1.9079853348426434
2021-04-12,1.9178110872164806
2021-04-13,1.9189579531041092
2021-04-14,1.9248576260183996
2021-04-15,1.9246973158262746
2021-04-16,1.925454351353833
2021-04-19,1.921500476824694
2021-04-20,1.9131755182373875
2021-04-22,1.908348772364735
2021-04-23,1.9194101979277391
2021-04-26,1.917643317728131
2021-04-27,1.9064813439822332
2021-04-28,1.9222495271877
2021-04-29,1.9107960211375103
