Date,Open,Low,High,Close,Qt
30/03/2007,45804.66,45804.66,45804.66,45804.66,45804.66
02/04/2007,45597.48,45597.48,45597.48,45597.48,45597.48
03/04/2007,46288.16,46288.16,46288.16,46288.16,46288.16
04/04/2007,46553.93,46553.93,46553.93,46553.93,46553.93
05/04/2007,46646.57,46646.57,46646.57,46646.57,46646.57
09/04/2007,46854.71,46854.71,46854.71,46854.71,46854.71
10/04/2007,47174.07,47174.07,47174.07,47174.07,47174.07
11/04/2007,46939.19,46939.19,46939.19,46939.19,46939.19
12/04/2007,47346.56,47346.56,47346.56,47346.56,47346.56
13/04/2007,47926.23,47926.23,47926.23,47926.23,47926.23
16/04/2007,48921.21,48921.21,48921.21,48921.21,48921.21
17/04/2007,48755.48,48755.48,48755.48,48755.48,48755.48
18/04/2007,48709.84,48709.84,48709.84,48709.84,48709.84
19/04/2007,48762.13,48762.13,48762.13,48762.13,48762.13
20/04/2007,49408.18,49408.18,49408.18,49408.18,49408.18
23/04/2007,49162.09,49162.09,49162.09,49162.09,49162.09
24/04/2007,49070.86,49070.86,49070.86,49070.86,49070.86
25/04/2007,49675.59,49675.59,49675.59,49675.59,49675.59
26/04/2007,49067.69,49067.69,49067.69,49067.69,49067.69
27/04/2007,49229.6,49229.6,49229.6,49229.6,49229.6
30/04/2007,48956.39,48956.39,48956.39,48956.39,48956.39
02/05/2007,49471.54,49471.54,49471.54,49471.54,49471.54
03/05/2007,50218.22,50218.22,50218.22,50218.22,50218.22
04/05/2007,50597.79,50597.79,50597.79,50597.79,50597.79
07/05/2007,50281.73,50281.73,50281.73,50281.73,50281.73
08/05/2007,50277.69,50277.69,50277.69,50277.69,50277.69
09/05/2007,51300.13,51300.13,51300.13,51300.13,51300.13
10/05/2007,50234.68,50234.68,50234.68,50234.68,50234.68
11/05/2007,50902.38,50902.38,50902.38,50902.38,50902.38
14/05/2007,50510.76,50510.76,50510.76,50510.76,50510.76
15/05/2007,50518.21,50518.21,50518.21,50518.21,50518.21
16/05/2007,51737.56,51737.56,51737.56,51737.56,51737.56
17/05/2007,51631.47,51631.47,51631.47,51631.47,51631.47
18/05/2007,52077.68,52077.68,52077.68,52077.68,52077.68
21/05/2007,52423.45,52423.45,52423.45,52423.45,52423.45
22/05/2007,52208.09,52208.09,52208.09,52208.09,52208.09
23/05/2007,51812.5,51812.5,51812.5,51812.5,51812.5
24/05/2007,50530.65,50530.65,50530.65,50530.65,50530.65
25/05/2007,51617.97,51617.97,51617.97,51617.97,51617.97
28/05/2007,52119.97,52119.97,52119.97,52119.97,52119.97
29/05/2007,51713.18,51713.18,51713.18,51713.18,51713.18
30/05/2007,52527.65,52527.65,52527.65,52527.65,52527.65
31/05/2007,52268.46,52268.46,52268.46,52268.46,52268.46
01/06/2007,53422.67,53422.67,53422.67,53422.67,53422.67
04/06/2007,53242.68,53242.68,53242.68,53242.68,53242.68
05/06/2007,53162.21,53162.21,53162.21,53162.21,53162.21
06/06/2007,52049.31,52049.31,52049.31,52049.31,52049.31
08/06/2007,52329.68,52329.68,52329.68,52329.68,52329.68
11/06/2007,52776.84,52776.84,52776.84,52776.84,52776.84
12/06/2007,51797.14,51797.14,51797.14,51797.14,51797.14
13/06/2007,52993.73,52993.73,52993.73,52993.73,52993.73
14/06/2007,53712.89,53712.89,53712.89,53712.89,53712.89
15/06/2007,54518.63,54518.63,54518.63,54518.63,54518.63
18/06/2007,54730.44,54730.44,54730.44,54730.44,54730.44
19/06/2007,54643.72,54643.72,54643.72,54643.72,54643.72
20/06/2007,54029.24,54029.24,54029.24,54029.24,54029.24
21/06/2007,54656.88,54656.88,54656.88,54656.88,54656.88
22/06/2007,54267.1,54267.1,54267.1,54267.1,54267.1
25/06/2007,54041.57,54041.57,54041.57,54041.57,54041.57
26/06/2007,53851.68,53851.68,53851.68,53851.68,53851.68
27/06/2007,54143.07,54143.07,54143.07,54143.07,54143.07
28/06/2007,54146.59,54146.59,54146.59,54146.59,54146.59
29/06/2007,54392.06,54392.06,54392.06,54392.06,54392.06
02/07/2007,55371.21,55371.21,55371.21,55371.21,55371.21
03/07/2007,55699.69,55699.69,55699.69,55699.69,55699.69
04/07/2007,55696.47,55696.47,55696.47,55696.47,55696.47
05/07/2007,55932.34,55932.34,55932.34,55932.34,55932.34
06/07/2007,56443.73,56443.73,56443.73,56443.73,56443.73
10/07/2007,55882.7,55882.7,55882.7,55882.7,55882.7
11/07/2007,56356.13,56356.13,56356.13,56356.13,56356.13
12/07/2007,57613.05,57613.05,57613.05,57613.05,57613.05
13/07/2007,57644.16,57644.16,57644.16,57644.16,57644.16
16/07/2007,57374.4,57374.4,57374.4,57374.4,57374.4
17/07/2007,57659.65,57659.65,57659.65,57659.65,57659.65
18/07/2007,57555.85,57555.85,57555.85,57555.85,57555.85
19/07/2007,58124.57,58124.57,58124.57,58124.57,58124.57
20/07/2007,57442.74,57442.74,57442.74,57442.74,57442.74
23/07/2007,58036.77,58036.77,58036.77,58036.77,58036.77
24/07/2007,55794.57,55794.57,55794.57,55794.57,55794.57
25/07/2007,56001.3,56001.3,56001.3,56001.3,56001.3
26/07/2007,53893.15,53893.15,53893.15,53893.15,53893.15
27/07/2007,52922.23,52922.23,52922.23,52922.23,52922.23
30/07/2007,54572.61,54572.61,54572.61,54572.61,54572.61
31/07/2007,54182.5,54182.5,54182.5,54182.5,54182.5
01/08/2007,54233.87,54233.87,54233.87,54233.87,54233.87
02/08/2007,54690.92,54690.92,54690.92,54690.92,54690.92
03/08/2007,52846.38,52846.38,52846.38,52846.38,52846.38
06/08/2007,53091.1,53091.1,53091.1,53091.1,53091.1
07/08/2007,53802.48,53802.48,53802.48,53802.48,53802.48
08/08/2007,55241.37,55241.37,55241.37,55241.37,55241.37
09/08/2007,53430.84,53430.84,53430.84,53430.84,53430.84
10/08/2007,52638.13,52638.13,52638.13,52638.13,52638.13
13/08/2007,52434.01,52434.01,52434.01,52434.01,52434.01
14/08/2007,50911.75,50911.75,50911.75,50911.75,50911.75
15/08/2007,49285.3,49285.3,49285.3,49285.3,49285.3
16/08/2007,48015.55,48015.55,48015.55,48015.55,48015.55
17/08/2007,48558.76,48558.76,48558.76,48558.76,48558.76
20/08/2007,49206.36,49206.36,49206.36,49206.36,49206.36
21/08/2007,49815.08,49815.08,49815.08,49815.08,49815.08
22/08/2007,51744.56,51744.56,51744.56,51744.56,51744.56
23/08/2007,51848.23,51848.23,51848.23,51848.23,51848.23
24/08/2007,52997.56,52997.56,52997.56,52997.56,52997.56
27/08/2007,53078.15,53078.15,53078.15,53078.15,53078.15
28/08/2007,51645.33,51645.33,51645.33,51645.33,51645.33
29/08/2007,52734.64,52734.64,52734.64,52734.64,52734.64
30/08/2007,52857.84,52857.84,52857.84,52857.84,52857.84
31/08/2007,54637.24,54637.24,54637.24,54637.24,54637.24
03/09/2007,54832.51,54832.51,54832.51,54832.51,54832.51
04/09/2007,55250.47,55250.47,55250.47,55250.47,55250.47
